K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
12;random;701523.6875;0.3771716329068749;9119.679627429643;-0.7141378124035718;kmeans;125;cbow;WMD;Distance;10;0.0001
12;k-means++;701561.6875;0.376048075623039;9118.717529682608;-0.7530097486787545;kmeans;125;cbow;WMD;Distance;10;0.0001
11;random;766406.3125;0.38316759265230554;9102.725210088845;-0.7312673550750041;kmeans;125;cbow;WMD;Distance;10;0.0001
11;k-means++;766822.5;0.38077309138796417;9097.556920550114;-0.755081659866465;kmeans;125;cbow;WMD;Distance;10;0.0001
9;random;936890.8125;0.37637259758338676;9093.572555688608;-0.7722702704815511;kmeans;125;cbow;WMD;Distance;10;0.0001
9;k-means++;936989.875;0.37638015391547425;9092.773469566988;-0.7770824175390967;kmeans;125;cbow;WMD;Distance;10;0.0001
14;random;605308.25;0.3638115354749533;9056.801898475367;-0.7256741385248968;kmeans;125;cbow;WMD;Distance;10;0.0001
13;random;653768.125;0.36875414677244206;9026.745328792982;-0.6834701326573608;kmeans;125;cbow;WMD;Distance;10;0.0001
14;k-means++;607771.9375;0.3611480212132188;9017.388366080788;-0.7250392750539784;kmeans;125;cbow;WMD;Distance;10;0.0001
13;k-means++;654681.0625;0.3716500516731595;9012.965536761643;-0.7410768772547781;kmeans;125;cbow;WMD;Distance;10;0.0001
8;k-means++;1068626.25;0.37745761797165656;8945.2942075575;-0.7885334797382701;kmeans;125;cbow;WMD;Distance;10;0.0001
8;random;1068673.375;0.37725908421144017;8944.898928593804;-0.7886271934382287;kmeans;125;cbow;WMD;Distance;10;0.0001
7;k-means++;1223799.25;0.3834221527171639;8913.339693787917;-0.8114089957442078;kmeans;125;cbow;WMD;Distance;10;0.0001
7;random;1223821.0;0.3836724586707405;8913.23538825088;-0.8112854719867123;kmeans;125;cbow;WMD;Distance;10;0.0001
6;k-means++;1439162.75;0.3815331404680855;8812.048614588919;-0.7846638048121731;kmeans;125;cbow;WMD;Distance;10;0.0001
6;random;1439169.625;0.3814844613934593;8812.042008873537;-0.784539553109712;kmeans;125;cbow;WMD;Distance;10;0.0001
5;k-means++;1745092.125;0.3785185625020883;8668.756143025405;-0.85596082794905;kmeans;125;cbow;WMD;Distance;10;0.0001
5;random;1745124.375;0.37847733587913557;8668.59790515494;-0.855567318135658;kmeans;125;cbow;WMD;Distance;10;0.0001
3;k-means++;2921975.25;0.40371085081668184;8444.07690194268;-0.8833997876021041;kmeans;125;cbow;WMD;Distance;10;0.0001
3;random;2921978.75;0.40360915965846794;8444.072357949377;-0.8759673292921151;kmeans;125;cbow;WMD;Distance;10;0.0001
4;random;2286769.25;0.3634253373345272;8071.565981825005;-0.8584295788180517;kmeans;125;cbow;WMD;Distance;10;0.0001
4;k-means++;2286778.5;0.3633936645978277;8071.517291807582;-0.858535778757475;kmeans;125;cbow;WMD;Distance;10;0.0001
2;random;5089883.0;0.34984717100404855;5650.130822412077;-0.8689244881275604;kmeans;125;cbow;WMD;Distance;10;0.0001
2;k-means++;5089964.0;0.3500177882179608;5649.913117766371;-0.8689213813529408;kmeans;125;cbow;WMD;Distance;10;0.0001
7;random;855288.6875;0.39548331073089826;9466.308136621681;-0.7914977845688855;kmeans;150;cbow;WMD;Distance;10;0.0001
7;k-means++;855305.625;0.395347934942939;9466.165562624135;-0.8043491799093351;kmeans;150;cbow;WMD;Distance;10;0.0001
6;k-means++;1009529.0;0.3810474444063244;9334.827846103562;-0.755660896534098;kmeans;150;cbow;WMD;Distance;10;0.0001
6;random;1009528.75;0.3810343334243493;9334.807100797183;-0.7554577431452805;kmeans;150;cbow;WMD;Distance;10;0.0001
8;k-means++;771898.3125;0.36520391115535644;9136.11934096401;-0.8207840373905367;kmeans;150;cbow;WMD;Distance;10;0.0001
8;random;772015.5;0.3656331220668991;9134.492862731116;-0.7959072082684908;kmeans;150;cbow;WMD;Distance;10;0.0001
5;k-means++;1234720.375;0.38468352638604336;9108.859169588719;-0.7803399683313845;kmeans;150;cbow;WMD;Distance;10;0.0001
5;random;1234783.375;0.38482070298743376;9108.257754751337;-0.7943356456573948;kmeans;150;cbow;WMD;Distance;10;0.0001
10;k-means++;626777.6875;0.36672954867075525;8993.45139466563;-0.7594961716748275;kmeans;150;cbow;WMD;Distance;10;0.0001
13;k-means++;482758.9375;0.3545005268617516;8990.43513056167;-0.7352714111666524;kmeans;150;cbow;WMD;Distance;10;0.0001
13;random;482937.125;0.3527235153399546;8986.831603708513;-0.7343463148891529;kmeans;150;cbow;WMD;Distance;10;0.0001
9;k-means++;696810.8125;0.35839245748125675;8982.531006322957;-0.7728486516198696;kmeans;150;cbow;WMD;Distance;10;0.0001
10;random;627660.375;0.3635760268816236;8979.43492281955;-0.7512981970965754;kmeans;150;cbow;WMD;Distance;10;0.0001
11;k-means++;570959.25;0.36103155590783703;8977.464920625593;-0.7610384968696535;kmeans;150;cbow;WMD;Distance;10;0.0001
9;random;697574.4375;0.3594798264158194;8971.598854159078;-0.803305647092449;kmeans;150;cbow;WMD;Distance;10;0.0001
14;k-means++;449734.6875;0.34955949483116544;8961.448127154123;-0.6878565958046094;kmeans;150;cbow;WMD;Distance;10;0.0001
14;random;450304.1875;0.3510819421325097;8948.657895062755;-0.7342887089541569;kmeans;150;cbow;WMD;Distance;10;0.0001
11;random;572979.6875;0.35811531648548767;8942.309579005989;-0.7383205825528025;kmeans;150;cbow;WMD;Distance;10;0.0001
12;random;526049.3125;0.3527849602993045;8930.979947538717;-0.7459873713989597;kmeans;150;cbow;WMD;Distance;10;0.0001
12;k-means++;526300.3125;0.35014335938990476;8926.066416341837;-0.7569703807709255;kmeans;150;cbow;WMD;Distance;10;0.0001
4;random;1609951.625;0.3937564114079395;8577.179693495771;-0.7797216050031414;kmeans;150;cbow;WMD;Distance;10;0.0001
4;k-means++;1609964.0;0.39307954221116836;8577.075641125082;-0.7826660500091399;kmeans;150;cbow;WMD;Distance;10;0.0001
3;random;2171600.75;0.4033598573802107;8311.154405173562;-0.8551441732918685;kmeans;150;cbow;WMD;Distance;10;0.0001
3;k-means++;2171634.75;0.4033573285589948;8310.995014862121;-0.8550443386943256;kmeans;150;cbow;WMD;Distance;10;0.0001
2;random;3670684.0;0.3514230612797901;5955.454505111098;-0.8523560111110682;kmeans;150;cbow;WMD;Distance;10;0.0001
2;k-means++;3670787.75;0.3511191655426108;5955.008774472862;-0.8192866092038806;kmeans;150;cbow;WMD;Distance;10;0.0001
7;k-means++;498301.3125;0.3918675388801838;9361.495080497;-0.7814478840607759;kmeans;200;cbow;WMD;Distance;10;0.0001
7;random;498312.28125;0.3918258715796962;9361.389924359;-0.7744873101130089;kmeans;200;cbow;WMD;Distance;10;0.0001
8;random;442918.8125;0.37930262032981876;9196.270932354897;-0.7662660847974465;kmeans;200;cbow;WMD;Distance;10;0.0001
8;k-means++;442928.40625;0.37912682865171937;9195.940298863708;-0.769046371598399;kmeans;200;cbow;WMD;Distance;10;0.0001
6;random;590527.25;0.38184612153761355;9183.719798871363;-0.7951217932461105;kmeans;200;cbow;WMD;Distance;10;0.0001
6;k-means++;590539.5625;0.381687162547484;9183.534556168162;-0.7985004108462939;kmeans;200;cbow;WMD;Distance;10;0.0001
12;random;298400.90625;0.36566157137828964;9100.386173003426;-0.7261990383168346;kmeans;200;cbow;WMD;Distance;10;0.0001
12;k-means++;298474.96875;0.36504404057405426;9098.164899673446;-0.7213757980998134;kmeans;200;cbow;WMD;Distance;10;0.0001
13;k-means++;275799.875;0.3631144719267381;9089.468060341693;-0.7299390143578869;kmeans;200;cbow;WMD;Distance;10;0.0001
13;random;275806.59375;0.36655053097645673;9089.214812406784;-0.74881671267669;kmeans;200;cbow;WMD;Distance;10;0.0001
14;k-means++;256565.21875;0.35823509063070064;9073.111274823645;-0.7280408143537526;kmeans;200;cbow;WMD;Distance;10;0.0001
14;random;256603.515625;0.3571726960028978;9071.920497511537;-0.750095600670882;kmeans;200;cbow;WMD;Distance;10;0.0001
9;k-means++;398841.25;0.3728260019824764;9066.265544672458;-0.7496418216223032;kmeans;200;cbow;WMD;Distance;10;0.0001
9;random;398924.3125;0.37232927107589925;9063.955845585944;-0.7817848246330964;kmeans;200;cbow;WMD;Distance;10;0.0001
10;k-means++;360649.75;0.36218331447142754;9022.888670759072;-0.7600327097203594;kmeans;200;cbow;WMD;Distance;10;0.0001
11;random;328071.75;0.3695117910428548;9020.449003430058;-0.7610079549793347;kmeans;200;cbow;WMD;Distance;10;0.0001
11;k-means++;328181.25;0.3713417509556252;9017.28712919999;-0.7485973471810131;kmeans;200;cbow;WMD;Distance;10;0.0001
10;random;360931.78125;0.3609975312680848;9014.997679882577;-0.7655230190294319;kmeans;200;cbow;WMD;Distance;10;0.0001
4;k-means++;896577.875;0.4078679276084549;9002.88889245678;-0.8675807727115377;kmeans;200;cbow;WMD;Distance;10;0.0001
4;random;896589.5625;0.40787388358515014;9002.780576838879;-0.8675198205573719;kmeans;200;cbow;WMD;Distance;10;0.0001
5;k-means++;723233.6875;0.38500827152624867;8938.741615393586;-0.8135267658697398;kmeans;200;cbow;WMD;Distance;10;0.0001
5;random;723248.4375;0.3849553655303113;8938.604958048118;-0.8134806183367205;kmeans;200;cbow;WMD;Distance;10;0.0001
3;random;1327383.875;0.38439580510769084;7581.075956375394;-0.8661930557446098;kmeans;200;cbow;WMD;Distance;10;0.0001
3;k-means++;1327386.25;0.384436157993981;7581.073382918228;-0.8661444777662217;kmeans;200;cbow;WMD;Distance;10;0.0001
2;random;2020835.125;0.3636519948235372;6700.743431057415;-0.900071552499411;kmeans;200;cbow;WMD;Distance;10;0.0001
2;k-means++;2020830.625;0.36376839566939384;6700.73526635764;-0.900052105010597;kmeans;200;cbow;WMD;Distance;10;0.0001
