K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
13;random;1210338.125;0.3634880901442911;8790.412408015347;-0.789799639216878;kmeans;100;glove;WMD;Distance;10;0.0001
11;random;1431978.5;0.37186001431699406;8770.799791493044;-0.7754733930113317;kmeans;100;glove;WMD;Distance;10;0.0001
11;k-means++;1432248.75;0.3716082527102397;8768.88461553408;-0.7806887713804813;kmeans;100;glove;WMD;Distance;10;0.0001
14;random;1128199.125;0.36223881202473257;8757.432275295208;-0.7699827730916473;kmeans;100;glove;WMD;Distance;10;0.0001
14;k-means++;1130856.75;0.35933426116809714;8734.898999133107;-0.7559421050825128;kmeans;100;glove;WMD;Distance;10;0.0001
10;random;1598349.625;0.3637746945160157;8622.143341550252;-0.7725399216974629;kmeans;100;glove;WMD;Distance;10;0.0001
9;k-means++;1774169.125;0.37042858337706874;8621.90212623937;-0.8094977594111483;kmeans;100;glove;WMD;Distance;10;0.0001
9;random;1774171.75;0.37046211874149376;8621.882998397756;-0.8095078082057037;kmeans;100;glove;WMD;Distance;10;0.0001
10;k-means++;1598634.875;0.36411783474077125;8620.411600992935;-0.7996290074437371;kmeans;100;glove;WMD;Distance;10;0.0001
8;random;2002682.25;0.3625648179761089;8575.424716898737;-0.8099530879788821;kmeans;100;glove;WMD;Distance;10;0.0001
8;k-means++;2002783.5;0.36356582991984965;8574.906852309861;-0.8219117898260346;kmeans;100;glove;WMD;Distance;10;0.0001
7;random;2324571.75;0.366692816701243;8400.97980029702;-0.8470152960887982;kmeans;100;glove;WMD;Distance;10;0.0001
7;k-means++;2324576.0;0.3666826982309227;8400.96598256587;-0.8470116080978365;kmeans;100;glove;WMD;Distance;10;0.0001
4;random;4080706.25;0.37456517139693635;8212.068654153754;-0.8703504569554152;kmeans;100;glove;WMD;Distance;10;0.0001
4;k-means++;4080805.75;0.37461145729014356;8211.745984864061;-0.8760157165106492;kmeans;100;glove;WMD;Distance;10;0.0001
6;k-means++;2767958.75;0.37360321196999235;8163.0669431487495;-0.8668982524167066;kmeans;100;glove;WMD;Distance;10;0.0001
6;random;2768757.0;0.3734537551493814;8160.534044419168;-0.8473995961643112;kmeans;100;glove;WMD;Distance;10;0.0001
5;random;3340481.0;0.3550576157285474;8049.189312284785;-0.8574344409789396;kmeans;100;glove;WMD;Distance;10;0.0001
5;k-means++;3340684.5;0.354876700157056;8048.490539564762;-0.83226476844785;kmeans;100;glove;WMD;Distance;10;0.0001
3;random;5693410.5;0.38543193273678494;7484.485337494276;-0.8435789744663128;kmeans;100;glove;WMD;Distance;10;0.0001
3;k-means++;5693807.0;0.3854826528072552;7483.991276857263;-0.8434844622040598;kmeans;100;glove;WMD;Distance;10;0.0001
2;k-means++;8938593.0;0.3584452412444013;6086.823627178161;-0.8900962340720131;kmeans;100;glove;WMD;Distance;10;0.0001
2;random;8938589.0;0.3583064198545727;6086.8048824649695;-0.8902069178181073;kmeans;100;glove;WMD;Distance;10;0.0001
13;random;980189.875;0.3639601565817448;8834.046860483026;-0.7570261951155769;kmeans;125;glove;WMD;Distance;10;0.0001
13;k-means++;981677.0;0.36297255213320395;8819.321433219506;-0.7570815320023639;kmeans;125;glove;WMD;Distance;10;0.0001
12;k-means++;1065349.875;0.36184798598351026;8798.652378022714;-0.7882583908411751;kmeans;125;glove;WMD;Distance;10;0.0001
12;random;1065623.875;0.36158005190863335;8796.152713559968;-0.7915318470561262;kmeans;125;glove;WMD;Distance;10;0.0001
14;random;914665.9375;0.367851793062625;8789.846159580353;-0.7853047360446439;kmeans;125;glove;WMD;Distance;10;0.0001
14;k-means++;914859.125;0.3672688610805145;8788.013103498608;-0.769036877596386;kmeans;125;glove;WMD;Distance;10;0.0001
11;random;1172371.375;0.364261811310682;8709.348734969357;-0.7947813042634926;kmeans;125;glove;WMD;Distance;10;0.0001
11;k-means++;1172961.375;0.3646819700363532;8704.492139932008;-0.8102166680858812;kmeans;125;glove;WMD;Distance;10;0.0001
8;random;1616617.25;0.3652011650299018;8652.932061649339;-0.8220429681211807;kmeans;125;glove;WMD;Distance;10;0.0001
8;k-means++;1616679.625;0.3652348045962514;8652.70838467568;-0.8046137409167433;kmeans;125;glove;WMD;Distance;10;0.0001
7;k-means++;1850437.625;0.3788408227783094;8620.647983002786;-0.8109285096112299;kmeans;125;glove;WMD;Distance;10;0.0001
7;random;1850461.75;0.3788180094928608;8620.418389400003;-0.8181124157327232;kmeans;125;glove;WMD;Distance;10;0.0001
10;k-means++;1302617.875;0.3581703426786259;8604.746401457016;-0.7826413490575063;kmeans;125;glove;WMD;Distance;10;0.0001
10;random;1304739.75;0.3570986335885533;8589.141530537716;-0.8012042009185729;kmeans;125;glove;WMD;Distance;10;0.0001
9;random;1453255.125;0.36344639131925205;8555.32504666042;-0.8496396485642198;kmeans;125;glove;WMD;Distance;10;0.0001
9;k-means++;1453597.625;0.36362130270921234;8552.909746554575;-0.8355924740741036;kmeans;125;glove;WMD;Distance;10;0.0001
6;k-means++;2185364.25;0.38373886886391223;8468.99660554547;-0.8259678799302982;kmeans;125;glove;WMD;Distance;10;0.0001
6;random;2185363.5;0.38373886886391223;8468.99660554547;-0.8259678799302982;kmeans;125;glove;WMD;Distance;10;0.0001
5;k-means++;2697124.75;0.35836196734577935;8128.140331893509;-0.8176753237439025;kmeans;125;glove;WMD;Distance;10;0.0001
5;random;2697236.0;0.3583454196339043;8127.686248105945;-0.8192342063625471;kmeans;125;glove;WMD;Distance;10;0.0001
4;random;3367876.5;0.37040351776712593;8049.4317668078675;-0.7896132897720853;kmeans;125;glove;WMD;Distance;10;0.0001
4;k-means++;3367876.0;0.37040351776712593;8049.4317668078675;-0.7896132897720854;kmeans;125;glove;WMD;Distance;10;0.0001
3;random;4606104.5;0.3863770818493409;7552.6461425167345;-0.8575350286564017;kmeans;125;glove;WMD;Distance;10;0.0001
3;k-means++;4606185.5;0.3864129622379839;7552.473522113261;-0.857532786335083;kmeans;125;glove;WMD;Distance;10;0.0001
2;k-means++;7281320.5;0.35713310431332995;6066.434301430706;-0.9353171733404207;kmeans;125;glove;WMD;Distance;10;0.0001
2;random;7282109.5;0.35673986303365984;6064.904837071893;-0.9086349842976373;kmeans;125;glove;WMD;Distance;10;0.0001
12;k-means++;791920.6875;0.35837641227951456;8494.212245013452;-0.7552390018173594;kmeans;150;glove;WMD;Distance;10;0.0001
12;random;791985.0;0.35845281189177775;8493.473437288954;-0.7770974224717353;kmeans;150;glove;WMD;Distance;10;0.0001
13;random;735730.25;0.3563816098662468;8440.474030049976;-0.7739392517685482;kmeans;150;glove;WMD;Distance;10;0.0001
13;k-means++;736769.8125;0.35740827444402956;8427.724558292768;-0.7721762292884071;kmeans;150;glove;WMD;Distance;10;0.0001
14;k-means++;684672.875;0.35470409814311366;8426.086075686715;-0.7538024332071656;kmeans;150;glove;WMD;Distance;10;0.0001
14;random;685261.875;0.3549789695411992;8418.785338482918;-0.7723432183804363;kmeans;150;glove;WMD;Distance;10;0.0001
11;k-means++;874894.125;0.3628589576337884;8368.56128784238;-0.764309886868671;kmeans;150;glove;WMD;Distance;10;0.0001
11;random;874939.25;0.36246873010774555;8368.133603297221;-0.7590884911435164;kmeans;150;glove;WMD;Distance;10;0.0001
7;k-means++;1372796.75;0.3662079953565089;8318.559948355525;-0.7896890890666256;kmeans;150;glove;WMD;Distance;10;0.0001
7;random;1372842.75;0.3665425058533955;8318.209095812703;-0.782752989884736;kmeans;150;glove;WMD;Distance;10;0.0001
8;k-means++;1204616.875;0.35619773113313696;8314.098519741092;-0.7899518407945824;kmeans;150;glove;WMD;Distance;10;0.0001
8;random;1204764.0;0.3562141215959606;8312.97335660756;-0.7905680479336137;kmeans;150;glove;WMD;Distance;10;0.0001
10;k-means++;971606.4375;0.3540015541529906;8268.544949839701;-0.7556835369725128;kmeans;150;glove;WMD;Distance;10;0.0001
