K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
7;k-means++;10;0.0001;1410726.0;0.38500912912685903;12436.202507194595;-0.7167742376300787;kmeans;125;skipgram;Moyenne;TFIDF
7;random;10;0.0001;1410764.625;0.38509455684193544;12435.812160403166;-0.6511622714268612;kmeans;125;skipgram;Moyenne;TFIDF
8;k-means++;10;0.0001;1235076.25;0.37322168398639405;12367.16499460206;-0.5672161837422418;kmeans;125;skipgram;Moyenne;TFIDF
8;random;10;0.0001;1235419.125;0.37368502350945526;12363.98857069996;-0.5555976397142747;kmeans;125;skipgram;Moyenne;TFIDF
9;random;10;0.0001;1095440.75;0.36646643420949315;12350.52111413642;-0.5855283919665986;kmeans;125;skipgram;Moyenne;TFIDF
9;k-means++;10;0.0001;1095512.75;0.36612176342416575;12349.898848262117;-0.5861446226652968;kmeans;125;skipgram;Moyenne;TFIDF
6;k-means++;10;0.0001;1673620.875;0.40143816614161426;12282.1224146543;-0.6867754964423648;kmeans;125;skipgram;Moyenne;TFIDF
6;random;10;0.0001;1673654.875;0.4015215469583875;12282.090952137352;-0.690440628370117;kmeans;125;skipgram;Moyenne;TFIDF
4;random;10;0.0001;2561693.5;0.4203335627273979;12279.035177130429;-0.649389239820213;kmeans;125;skipgram;Moyenne;TFIDF
4;k-means++;10;0.0001;2561693.75;0.42034969461004856;12279.031623642577;-0.6494345890042051;kmeans;125;skipgram;Moyenne;TFIDF
5;k-means++;10;0.0001;2030143.375;0.3963576684196459;12240.903497694175;-0.6826227027923633;kmeans;125;skipgram;Moyenne;TFIDF
5;random;10;0.0001;2030447.0;0.39639489922686894;12239.209324560343;-0.6297751996356225;kmeans;125;skipgram;Moyenne;TFIDF
2;k-means++;10;0.0001;5660475.0;0.4700273910652608;11474.34539525143;-0.684050500068375;kmeans;125;skipgram;Moyenne;TFIDF
2;random;10;0.0001;5660472.0;0.4700115191595135;11474.316998628825;-0.683975945667886;kmeans;125;skipgram;Moyenne;TFIDF
3;k-means++;10;0.0001;3828528.25;0.4153937311922849;10754.036098635788;-0.691895677020832;kmeans;125;skipgram;Moyenne;TFIDF
3;random;10;0.0001;3829294.75;0.41261673443528035;10750.892287017541;-0.7175955118827304;kmeans;125;skipgram;Moyenne;TFIDF
13;random;10;0.0001;559227.5;0.3840064235693695;13483.602708850456;-0.5626562490714472;kmeans;150;skipgram;Moyenne;TFIDF
13;k-means++;10;0.0001;559233.9375;0.38344261893723147;13483.268094276902;-0.5705099072230411;kmeans;150;skipgram;Moyenne;TFIDF
14;random;10;0.0001;518605.71875;0.3853641009786324;13477.372554534872;-0.5745139425417433;kmeans;150;skipgram;Moyenne;TFIDF
